"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri May 03 05:59:26 UTC 2024","Fri May 03 05:59:26 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Fri May 03 06:45:19 UTC 2024","Fri May 03 06:45:33 UTC 2024","13853","","18. Check Admin header","","","","1. Log in using manager login",""
"skipped","Fri May 03 05:59:26 UTC 2024","Fri May 03 05:59:26 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Fri May 03 06:39:37 UTC 2024","Fri May 03 06:39:40 UTC 2024","2836","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Fri May 03 06:03:52 UTC 2024","Fri May 03 06:03:54 UTC 2024","1485","","12. Client Portal - Forms","","","","2. Check Form Page",""
"skipped","Fri May 03 06:21:58 UTC 2024","Fri May 03 06:21:58 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Fri May 03 06:40:14 UTC 2024","Fri May 03 06:40:25 UTC 2024","10753","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Fri May 03 06:52:07 UTC 2024","Fri May 03 06:52:16 UTC 2024","9535","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Fri May 03 07:26:48 UTC 2024","Fri May 03 07:26:53 UTC 2024","4246","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Fri May 03 06:45:33 UTC 2024","Fri May 03 06:49:42 UTC 2024","249243","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Fri May 03 06:51:52 UTC 2024","Fri May 03 06:52:07 UTC 2024","15011","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Fri May 03 06:40:02 UTC 2024","Fri May 03 06:40:14 UTC 2024","11460","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"failed","Fri May 03 06:25:53 UTC 2024","Fri May 03 06:26:12 UTC 2024","19638","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"skipped","Fri May 03 08:23:24 UTC 2024","Fri May 03 08:23:24 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Fri May 03 06:39:43 UTC 2024","Fri May 03 06:39:45 UTC 2024","2260","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"skipped","Fri May 03 05:59:26 UTC 2024","Fri May 03 05:59:26 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"skipped","Fri May 03 06:21:58 UTC 2024","Fri May 03 06:21:58 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"skipped","Fri May 03 06:21:58 UTC 2024","Fri May 03 06:21:58 UTC 2024","1","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Fri May 03 06:03:59 UTC 2024","Fri May 03 06:04:00 UTC 2024","1482","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Fri May 03 06:01:28 UTC 2024","Fri May 03 06:01:42 UTC 2024","13936","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Fri May 03 07:26:53 UTC 2024","Fri May 03 07:27:11 UTC 2024","18570","","21. Forgot password function","","","","2. Reset password",""
"passed","Fri May 03 06:40:00 UTC 2024","Fri May 03 06:40:02 UTC 2024","2112","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Fri May 03 06:39:50 UTC 2024","Fri May 03 06:40:00 UTC 2024","10208","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"skipped","Fri May 03 05:59:26 UTC 2024","Fri May 03 05:59:26 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Fri May 03 06:39:45 UTC 2024","Fri May 03 06:39:50 UTC 2024","4524","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"skipped","Fri May 03 08:23:24 UTC 2024","Fri May 03 08:23:24 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"broken","Fri May 03 06:21:58 UTC 2024","Fri May 03 06:21:58 UTC 2024","1","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
